,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,628105100004008,44835409,2458202.8586922158,58202.3540972,19.7875557,0.110029429,0,zg,214.3439556,25.2273075,0.875,-0.187000006,20180325354086,628,0x5,0x1,21.0,26.2362537,0.0360222347,-0.0246518739,3.42910207e-05,30,1.046,1
1,628105100004008,44835697,2458202.8615742926,58202.3569792,19.6964664,0.103149384,0,zg,214.3439562,25.2272108,0.425000012,0.023,20180325356979,628,0x5,0x1,20.9500008,26.2382069,0.0367266275,-0.0352946445,3.50073424e-05,30,1.04100001,1
2,628105100004008,45134172,2458205.8463888657,58205.3417245,19.5896931,0.0954875648,0,zg,214.3439288,25.2272398,0.614000022,-0.195999995,20180328341713,628,0x5,0x1,20.1599998,26.1021595,0.0408866666,-0.0517624691,7.20934768e-05,30,1.05299997,1
3,628105100004008,45136454,2458205.869213453,58205.3645486,19.4518147,0.0862665847,0,zg,214.3440932,25.2271915,1.16900003,0.142000005,20180328364491,628,0x5,0x1,20.0699997,26.0843563,0.0469554365,-0.0433613621,0.000104638901,30,1.023,1
4,628105100004008,47529432,2458229.799112743,58229.2943287,19.5036316,0.0896417946,0,zg,214.3439348,25.2272403,1.03900003,-0.103,20180421294329,628,0x5,0x1,21.3899994,26.2679615,0.0304368492,-0.103922635,2.28008284e-05,30,1.02699995,1
5,628105100004008,47825381,2458232.758564001,58232.2538194,19.7297192,0.105625331,0,zg,214.3439104,25.2271419,0.888000011,-0.224000007,20180424253808,628,0x5,0x1,20.3899994,25.8169384,0.0392121747,-0.0604601987,6.21336949e-05,30,1.08099997,1
6,628105100004008,48124615,2458235.7508503217,58235.2461574,19.5170422,0.0905330852,0,zg,214.3439402,25.2272059,0.444999993,-0.0350000001,20180427246157,628,0x5,0x1,20.3999996,26.2405014,0.0374765843,-0.0442043953,5.17085646e-05,30,1.08000004,1
7,628105100004008,48228997,2458236.794649055,58236.2899769,19.5918846,0.0956402719,0,zg,214.343959,25.2272339,0.407999992,-0.26699999,20180428289965,628,0x5,0x1,19.75,26.2098198,0.0402502753,-0.0283688176,9.80959012e-05,30,1.01499999,2
8,628105100004008,48329640,2458237.8010512944,58237.2964005,18.9736729,0.0601425692,0,zg,214.3439216,25.2270298,0.532999992,0.0370000005,20180429296389,628,0x5,0x1,19.3400002,26.0928535,0.0456700884,-0.0212536156,0.000176410613,30,1.00999999,2
9,628105100004008,48823362,2458242.738149818,58242.2336227,19.4746437,0.0877401531,32768,zg,214.3439294,25.2272294,0.760999978,0.0460000001,20180504233611,628,0x5,0x1,21.6700001,26.2540417,0.0308588725,-0.125213504,2.40607878e-05,30,1.06599998,1
10,628105100004008,49431758,2458248.8219138416,58248.317581,19.5640488,0.093714498,0,zg,214.344012,25.2272696,0.989000022,0.0289999992,20180510317569,628,0x5,0x1,21.5900002,26.2462311,0.0283289365,-0.0490656793,1.95685061e-05,30,1.03299999,1
11,628105100004008,50121354,2458255.7176007484,58255.2135417,19.5540543,0.0930306241,0,zg,214.3439664,25.2272302,0.493000001,0.00600000005,20180517213542,628,0x5,0x1,21.7199993,26.2296677,0.028575059,-0.0527685471,1.98441849e-05,30,1.03999996,1
