Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,260111400019495,45213481,2458206.6364246244,58206.1348148,19.2830753,0.0858151913,0,zg,111.8377653,-24.108989,0.574000001,-0.0939999968,20180329134792,260,0xb,0x4,19.5100002,26.1930161,0.041440852,-0.115503535,2.02399951e-05,30,1.88199997,1
1,260111400019495,67250015,2458427.001219172,58426.5001505,19.2540379,0.0841455311,0,zg,111.8377755,-24.1090255,0.44600001,0.00700000022,20181104500081,260,0xb,0x4,20.8500004,26.2345467,0.0267679635,-0.101305053,7.81318613e-06,30,1.93200004,1
2,260111400019495,67350271,2458428.003857012,58427.5027199,19.2458191,0.0836782455,0,zg,111.8376598,-24.1090668,0.972000003,0.0710000023,20181105502708,260,0xb,0x4,20.2000008,26.1772709,0.0335695148,-0.0658581182,1.22197562e-05,30,1.92499995,1
3,260111400019495,67650228,2458431.003620103,58430.5022801,19.433897,0.0949581116,32768,zg,111.8377863,-24.1090124,1.03299999,-0.00899999961,20181108502268,260,0xb,0x4,20.5699997,26.2781391,0.0299813077,-0.168956816,1.00867519e-05,30,1.921,1
4,260111400019495,68347342,2458437.975224033,58437.4734259,19.4471569,0.0957991704,0,zg,111.8377183,-24.1090094,0.810000002,-0.0710000023,20181115473414,260,0xb,0x4,20.2800007,26.1917706,0.0316504799,-0.056745071,1.0689685e-05,30,1.92799997,1
5,260111400019495,68443864,2458438.940505595,58438.4386458,19.4752274,0.0975990817,32768,zg,111.8376399,-24.1090124,0.931999981,0.0179999992,20181116438310,260,0xb,0x4,20.2900009,25.8338089,0.031790752,-0.0706670806,1.08210761e-05,30,2.02900004,1
6,260111400019495,68948247,2458443.9846506463,58443.4824769,19.3455677,0.089508228,0,zg,111.837679,-24.1089635,0.57099998,0.101999998,20181121482465,260,0xb,0x4,20.0799999,26.1987305,0.0294239633,-0.0636943057,9.31631803e-06,30,1.93099999,1
7,260111400019495,69643583,2458450.938413859,58450.4358333,19.3648071,0.0906724557,0,zg,111.8376755,-24.1088981,0.736999989,-0.172999993,20181128435833,260,0xb,0x4,19.6800003,26.0172119,0.0379540958,-0.058415439,1.5657215e-05,30,1.93099999,1
8,260111400019495,71439679,2458468.9002463734,58468.396794,19.5697746,0.103850983,32768,zg,111.8377017,-24.1090036,0.63499999,-0.0250000004,20181216396597,260,0xb,0x4,20.7000008,26.2646408,0.0264217462,-0.141716704,7.52743335e-06,30,1.921,1
9,260111400019495,73741956,2458491.9236453334,58491.4195602,19.637104,0.10847272,0,zg,111.8375972,-24.108954,0.606000006,0.159999996,20190108419549,260,0xb,0x4,19.9200001,26.1308174,0.0365487561,-0.0879497379,1.44174364e-05,30,2.28600001,1
10,260111400019495,76923082,2458523.73473188,58523.2308218,19.4039955,0.093083255,0,zg,111.8376298,-24.1090206,0.967000008,-0.0460000001,20190209230660,260,0xb,0x4,20.4799995,25.9994793,0.0261120815,-0.0606467575,7.31948148e-06,30,1.88300002,1
11,260111400019495,78521130,2458539.7146828785,58539.2113079,19.5490837,0.102458388,0,zg,111.8377026,-24.108967,0.925999999,0.0900000036,20190225211296,260,0xb,0x4,20.6000004,26.141819,0.0254595913,-0.0350532942,6.97151836e-06,30,1.86500001,1
12,260111400019495,78616773,2458540.671066059,58540.1677315,19.36203,0.0905035883,0,zg,111.8376833,-24.1090203,0.74000001,-0.120999999,20190226167581,260,0xb,0x4,20.7800007,26.1871338,0.0244954862,-0.0923765302,6.54903533e-06,30,1.93299997,1
13,260111400019495,80513221,2458559.634578084,58559.1322106,19.1940308,0.0807882175,32768,zg,111.8379826,-24.1091338,0.555999994,0.305000007,20190317132060,260,0xb,0x4,19.3600006,26.1880455,0.046013739,-0.128154382,2.69466054e-05,30,1.88399994,1
14,260111400019495,102552049,2458780.020715645,58779.5204977,19.7875652,0.119249411,0,zg,111.8377784,-24.1090087,0.654999971,-0.143999994,20191023520498,260,0xb,0x4,20.3899994,26.0909691,0.0266093072,-0.0646585599,7.70218048e-06,30,1.90199995,1
15,260111400019495,103152312,2458786.023762956,58785.523125,19.7782536,0.118566707,32768,zg,111.8377646,-24.1090358,1.19500005,0.108000003,20191029523125,260,0xb,0x4,20.2999992,26.1155128,0.0312450975,-0.140197232,1.05848349e-05,30,1.86500001,1
16,260111400019495,104654344,2458801.045105417,58800.5434491,19.5112457,0.099946782,0,zg,111.8375175,-24.1090417,0.708000004,-0.317000002,20191113543287,260,0xb,0x4,19.4699993,26.0804195,0.0397827514,-0.0477327928,1.86365232e-05,30,2.0150001,1
17,260111400019495,110142199,2458855.926056942,58855.4219907,19.3080006,0.0872718766,0,zg,111.8377104,-24.1090403,0.731000006,0.131999999,20200107421991,260,0xb,0x4,19.5499992,26.1823578,0.0411281064,-0.0554308593,1.87502064e-05,30,2.27099991,1
18,260111400019495,110229064,2458856.795595474,58856.2906481,19.7553253,0.116893634,0,zg,111.8377748,-24.1089163,0.777999997,-0.228,20200108290451,260,0xb,0x4,19.9599991,28.2257748,0.0343266763,-0.100478731,1.33067842e-05,180,1.98500001,2
19,260111400019495,111039807,2458864.9022354814,58864.3980787,19.5669632,0.103661016,0,zg,111.8375789,-24.1089876,0.663999975,-0.0299999993,20200116398079,260,0xb,0x4,20.0699997,26.1632652,0.0313807577,-0.0853550285,1.05084982e-05,30,2.27900004,1
20,260111400019495,111933753,2458873.8416828047,58873.3375347,19.5632648,0.103411391,0,zg,111.8376927,-24.1090298,0.984000027,-0.0540000014,20200125337523,260,0xb,0x4,20.5100002,26.2237282,0.0278919637,-0.0952277407,8.59080956e-06,30,1.977,1
21,260111400019495,112235598,2458876.8601065697,58876.3559838,19.5845299,0.1048522,0,zg,111.8376761,-24.1089762,0.446999997,-0.0329999998,20200128355787,260,0xb,0x4,20.4200001,26.1749172,0.0281843171,-0.0992839634,8.66389291e-06,30,2.17600012,1
22,260111400019495,112523045,2458879.7345396527,58879.2304514,19.6493492,0.109327585,0,zg,111.837478,-24.1091302,0.514999986,0.340000004,20200131230058,260,0xb,0x4,19.9500008,26.2046013,0.0357434079,-0.058932025,1.37407178e-05,30,1.972,1
23,260111400019495,113720989,2458891.7137342864,58891.2098958,19.4897251,0.0985389799,0,zg,111.8376894,-24.1090268,0.751999974,0.0839999989,20200212209248,260,0xb,0x4,20.0799999,26.2187386,0.0304762609,-0.0544874929,9.90445642e-06,30,1.91799998,1
24,260111400019495,114018832,2458894.692072615,58894.1883218,19.5054913,0.0995688587,0,zg,111.8376741,-24.1090484,0.839999974,0.0140000004,20200215188206,260,0xb,0x4,20.8400002,26.2069893,0.0239986312,-0.0823571533,6.1892556e-06,30,1.97800004,1
25,260111400019495,114627321,2458900.7767592296,58900.2732176,19.6736469,0.111036226,0,zg,111.8377102,-24.1089757,0.82099998,-0.0280000009,20200221273206,260,0xb,0x4,20.1800003,26.1889782,0.029017698,-0.0886809155,9.18646037e-06,30,2.03399992,1
26,260111400019495,139850299,2459153.0037556384,59152.5029977,19.3693771,0.0909508392,0,zg,111.837726,-24.1088082,0.949999988,-0.0670000017,20201030502998,260,0xb,0x4,19.5900002,26.2818565,0.0393849611,-0.0378608592,1.75162004e-05,30,1.88600004,1
27,260111400019495,140448043,2459158.9816084024,59158.4804398,19.2639942,0.0847147182,0,zg,111.8376982,-24.1091917,0.850000024,-0.126000002,20201105480440,260,0xb,0x4,19.4899998,26.2413654,0.0415151082,-0.0480882153,1.97781446e-05,30,1.90400004,1
28,260111400019495,140550221,2459160.0034484654,59159.5022106,19.5294018,0.101146266,0,zg,111.8377824,-24.1089797,0.824000001,-0.108000003,20201106502211,260,0xb,0x4,20.2099991,26.2924461,0.028960932,-0.0986878425,9.39575784e-06,30,1.85699999,1
29,260111400019495,141150280,2459166.0044380925,59165.5028009,19.4299583,0.0947094262,0,zg,111.8377189,-24.1090054,0.56099999,-0.023,20201112502789,260,0xb,0x4,20.7099991,26.3077278,0.0239709355,-0.0758063495,6.45321916e-06,30,1.86099994,1
30,260111400019495,141246062,2459166.962324577,59166.460625,19.4728661,0.0974466503,0,zg,111.837622,-24.1089916,0.931999981,-0.0780000016,20201113460625,260,0xb,0x4,20.8700008,26.2779865,0.0227201916,-0.0829048604,5.75444301e-06,30,1.89699996,1
31,260111400019495,141546083,2459169.9627253963,59169.4608333,19.4607582,0.0966679752,0,zg,111.8378032,-24.1090207,0.50999999,-0.0120000001,20201116460833,260,0xb,0x4,20.6499996,26.3176155,0.0244886391,-0.0846220478,6.74052444e-06,30,1.87600005,1
32,260111400019495,141643907,2459170.941027968,59170.4390741,19.3781261,0.091485925,0,zg,111.8377283,-24.109049,2.25200009,-0.057,20201117439074,260,0xb,0x4,20.4500008,26.2774353,0.0272176377,-0.0557060353,8.18631634e-06,30,1.93700004,1
33,260111400019495,141750390,2459172.0059210146,59171.5039005,19.4603596,0.0966424495,0,zg,111.8376772,-24.1090094,0.331,-0.0350000001,20201118503900,260,0xb,0x4,20.5900002,26.3374767,0.0327108949,-0.0773942545,1.21782568e-05,30,1.898,1
34,260111400019495,142248307,2459176.985401838,59176.4830787,19.4362507,0.0951069444,0,zg,111.8376498,-24.108972,0.674000025,0.0140000004,20201123483079,260,0xb,0x4,20.7199993,26.227808,0.0234642271,-0.0482215099,6.01613101e-06,30,1.87899995,1
35,260111400019495,142350236,2459178.0047442103,59177.5023611,19.3782654,0.0914944038,0,zg,111.8377602,-24.1090649,1.495,0.143999994,20201124502361,260,0xb,0x4,20.2600002,26.2921391,0.0347514227,-0.0922783911,1.58566199e-05,30,1.95700002,1
36,260111400019495,142851410,2459183.0167762134,59182.5141088,19.092844,0.0754101425,0,zg,111.837939,-24.1089504,1.19599998,0.064000003,20201129514109,260,0xb,0x4,19.0400009,26.221777,0.0439797863,-0.0320841894,3.15992329e-05,30,2.13199997,1
37,260111400019495,143443332,2459188.936300108,59188.4333218,19.4034748,0.0930509418,0,zg,111.8377025,-24.1090238,1.51699996,-0.305000007,20201205433183,260,0xb,0x4,19.7800007,26.2947388,0.0362825617,-0.0595900379,1.42992994e-05,30,1.85599995,1
38,260111400019495,143945077,2459193.953993803,59193.4507755,19.4578896,0.0964842439,0,zg,111.8377025,-24.1090838,0.907999992,0.101000004,20201210450683,260,0xb,0x4,20.1499996,26.2385845,0.0292414967,-0.0789037719,9.733978e-06,30,1.92200005,1
39,260111400019495,144437481,2459198.8782455856,59198.3748148,19.4414902,0.0954389796,0,zg,111.8376722,-24.1090587,1.16799998,-0.00499999989,20201215374803,260,0xb,0x4,20.4400005,26.2932129,0.0263036527,-0.0760090128,7.45124589e-06,30,1.89300001,1
40,260111400019495,144643592,2459200.939438404,59200.4359259,19.3464336,0.0895603299,32768,zg,111.8377074,-24.1089739,1.42299998,0.228,20201217435914,260,0xb,0x4,19.9400005,25.7159882,0.037599504,-0.0762240514,1.55540147e-05,30,1.94000006,1
41,260111400019495,144935570,2459203.8593266527,59203.355706,19.3121071,0.0875139683,0,zg,111.8377719,-24.1090019,0.994000018,0.144999996,20201220355706,260,0xb,0x4,19.8999996,26.2672348,0.0372577608,-0.0511392802,1.52888078e-05,30,1.90999997,3
42,260111400019495,144935664,2459203.860264185,59203.3566435,19.4282074,0.0945990235,0,zg,111.8376003,-24.1091075,1.97399998,-0.0689999983,20201220356644,260,0xb,0x4,19.9400005,26.2663612,0.0361886546,-0.0502077714,1.4528533e-05,30,1.90699995,1
43,260111400019495,145135627,2459205.8599625803,59205.3562731,19.525341,0.100877032,32768,zg,111.8377084,-24.1090416,1.12100005,0.101999998,20201222356273,260,0xb,0x4,20.3299999,25.899683,0.0441192091,-0.10830646,2.15823766e-05,30,1.89100003,1
44,260111400019495,146340083,2459217.904842155,59217.4008333,19.3317757,0.0886814892,0,zg,111.8378534,-24.1088908,1.17499995,0.180000007,20210103400833,260,0xb,0x4,19.7399998,26.259491,0.0378551967,-0.0519976616,1.62312135e-05,30,2.0,1
45,260111400019495,146431746,2459218.8214915567,59218.3174653,19.3875923,0.092067726,0,zg,111.8376921,-24.10902,1.028,-0.213,20210104317465,260,0xb,0x4,20.0100002,26.237318,0.0321750157,-0.0556424446,1.1658025e-05,30,1.90100002,1
46,260111400019495,146635575,2459220.8598136534,59220.3557523,19.4236565,0.094312571,0,zg,111.8376346,-24.1089762,0.882000029,-0.142000005,20210106355752,260,0xb,0x4,19.6800003,26.0941391,0.0399608724,-0.052531343,1.78163973e-05,30,1.86600006,1
47,260111400019495,146835641,2459222.8605029047,59222.356412,19.3831482,0.0917941779,0,zg,111.8377905,-24.1090589,1.222,-0.133000001,20210108356412,260,0xb,0x4,20.5300007,26.2876225,0.024532944,-0.0796344727,6.67948734e-06,30,1.87699997,1
48,260111400019495,147033458,2459224.838698632,59224.3345833,19.3520641,0.0898998827,0,zg,111.8377746,-24.1090162,0.915000021,0.0599999987,20210110334583,260,0xb,0x4,20.2900009,26.2870102,0.0300463028,-0.0679457635,1.00621874e-05,30,1.85599995,1
49,260111400019495,147235278,2459226.8569246726,59226.3527894,19.3185158,0.0878929123,0,zg,111.8376336,-24.1091042,0.772000015,0.204999998,20210112352789,260,0xb,0x4,19.5100002,26.2390175,0.0437267572,-0.0232078433,2.40129684e-05,30,1.89499998,1
