Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,274107400000788,45236893,2458206.873918761,58206.3689352,19.5114079,0.0967549384,0,zg,213.9407216,-25.3068171,1.14100003,-0.158000007,20180329368889,274,0x7,0x4,19.7700005,26.0991669,0.0388335995,-0.0543779396,3.39033977e-05,30,1.926,1
99,274107400027656,48031298,2458234.818846995,58234.3129861,19.257967,0.0808851868,0,zg,213.9413123,-25.3064684,0.490999997,-0.382999986,20180426312859,274,0x7,0x4,19.0799999,25.6158333,0.0464267842,-0.0114734992,8.84550609e-05,30,1.87699997,1
1,274107400000788,49329532,2458247.8011618266,58247.2953241,19.2274246,0.0791353807,0,zg,213.940988,-25.3068224,1.32500005,0.165000007,20180509295312,274,0x7,0x4,21.1900005,26.0672359,0.0321581736,-0.0378445424,9.2786704e-06,30,1.87600005,1
2,274107400000788,51627348,2458270.7786194626,58270.2734838,19.1420765,0.0744296238,0,zg,213.9412194,-25.3064613,0.675999999,0.0340000018,20180601273472,274,0x7,0x4,19.4799995,25.9625301,0.0436565764,-0.0364646055,5.51371995e-05,30,1.99800003,1
100,274107400027656,51627348,2458270.7786194626,58270.2734838,19.1420765,0.0744296238,0,zg,213.9412194,-25.3064613,0.675999999,0.0340000018,20180601273472,274,0x7,0x4,19.4799995,25.9625301,0.0436565764,-0.0364646055,5.51371995e-05,30,1.99800003,1
3,274107400000788,52027217,2458274.777109533,58274.2721759,19.3604317,0.0870111957,0,zg,213.9410851,-25.3067611,1.34399998,0.174999997,20180605272164,274,0x7,0x4,21.2600002,26.0607662,0.0270745028,-0.07428395,6.5979475e-06,30,2.05800009,1
4,274107400000788,52625326,2458280.7578553343,58280.2532639,19.3083706,0.0838492662,0,zg,213.9409736,-25.306815,0.796999991,0.128000006,20180611253252,274,0x7,0x4,20.7999992,26.0771313,0.0329747647,-0.0805715099,1.0762541e-05,30,2.04500008,1
5,274107400000788,53023040,2458284.7347438727,58284.2304051,19.243969,0.0800788552,0,zg,213.9409206,-25.3067694,0.597000003,0.0799999982,20180615229815,274,0x7,0x4,20.7099991,25.9666653,0.0338672101,-0.0639226511,1.14528284e-05,30,1.97800004,1
6,274107400000788,78643896,2458540.9417003742,58540.4389699,19.3542957,0.0866332427,0,zg,213.9409115,-25.3066976,1.02499998,0.0260000005,20190226438958,274,0x7,0x4,20.4899998,26.0532551,0.0328334868,-0.0502983518,1.25694924e-05,30,1.99100006,1
7,274107400000788,81539800,2458569.902871847,58569.3980093,19.0853081,0.0714477375,32768,zg,213.941181,-25.3069415,0.474999994,0.0260000005,20190327397998,274,0x7,0x4,19.6100006,25.5492077,0.04599512,-0.110915251,5.91493299e-05,30,1.87,1
8,274107400000788,82835363,2458582.8591001574,58582.3536343,19.3953819,0.0891911462,0,zg,213.9410382,-25.3068419,0.94599998,0.0590000004,20190409353634,274,0x7,0x4,20.8999996,25.9596767,0.0316721611,-0.0640600026,9.55797259e-06,30,1.88300002,1
9,274107400000788,85329366,2458607.7995497603,58607.293669,19.2165184,0.0785189793,0,zg,213.9410712,-25.306804,1.75399995,0.238999993,20190504293507,274,0x7,0x4,21.0499992,25.8902016,0.0292084068,-0.0361515731,7.80691971e-06,30,1.87100005,1
10,274107400000788,88819049,2458642.6952844565,58642.1904977,19.5230503,0.0975413918,0,zg,213.9410351,-25.3067946,1.82099998,0.31400001,20190608190498,274,0x7,0x4,20.7800007,26.0350838,0.0316979736,-0.0561416224,9.72835096e-06,30,1.88199997,1
11,274107400000788,89120968,2458645.7142966897,58645.2096875,19.1235085,0.0734413937,0,zg,213.9410264,-25.3067776,0.953000009,0.150999993,20190611209201,274,0x7,0x4,19.7900009,25.9527092,0.0448321961,-0.0305484124,4.28689164e-05,30,1.87100005,1
12,274107400000788,90818975,2458662.6931703985,58662.1897569,19.1557236,0.0751639903,0,zg,213.9410513,-25.3067825,0.474999994,0.00800000038,20190628189745,274,0x7,0x4,20.2700005,26.0060711,0.0367467664,-0.0599376224,1.79065864e-05,30,1.93700004,1
13,274107400000788,91518954,2458669.692386433,58669.1895486,19.2342415,0.079522863,0,zg,213.9410737,-25.3068422,0.911000013,0.175999999,20190705189387,274,0x7,0x4,20.4699993,25.9680309,0.0370631628,-0.064222157,1.66304144e-05,30,2.03600001,1
14,274107400000788,91817048,2458672.6730671288,58672.1704861,19.1587811,0.0753294751,32768,zg,213.9410131,-25.3070249,0.615999997,-0.0719999969,20190708170324,274,0x7,0x4,19.2099991,25.9209652,0.0436038375,0.0125199221,7.41966287e-05,30,1.97099996,1
15,274107400000788,121033717,2458964.8430326567,58964.3371759,19.2440472,0.0800833628,0,zg,213.9410253,-25.3067718,0.507000029,0.0140000004,20200425337176,274,0x7,0x4,20.5200005,26.0498028,0.0367475152,-0.0579895973,1.54346399e-05,30,1.87,1
16,274107400000788,121327160,2458967.7774868845,58967.2716088,19.2317581,0.0793815181,0,zg,213.9410656,-25.3068143,0.825999975,0.057,20200428271273,274,0x7,0x4,20.5599995,26.0173893,0.0350213088,-0.0686235651,1.4224257e-05,30,1.98199999,1
17,274107400000788,121627293,2458970.778824941,58970.2729398,19.2105312,0.0781825185,0,zg,213.9409788,-25.3067855,0.425999999,0.0540000014,20200501271620,274,0x7,0x4,20.2600002,26.1149426,0.0384074636,-0.0739687085,2.11549795e-05,30,1.93799996,1
18,274107400000788,123324982,2458987.7554747406,58987.2498264,19.3775272,0.0880717635,0,zg,213.9410024,-25.306821,2.40400004,0.321999997,20200518249826,274,0x7,0x4,21.3799992,26.1281185,0.0300217234,-0.0866477191,8.28830889e-06,30,1.87399995,1
19,274107400000788,124320944,2458997.714741911,58997.2094444,19.4694138,0.0939596891,0,zg,213.941022,-25.3068201,1.245,0.223000005,20200528208831,274,0x7,0x4,21.1000004,26.0480556,0.0308914892,-0.0642629489,9.16911904e-06,30,1.90199995,1
20,274107400000788,126721195,2459021.715844754,59021.211956,19.4071236,0.0899337605,0,zg,213.9410415,-25.3067504,1.49300003,0.263000011,20200621211956,274,0x7,0x4,21.3400002,26.1207752,0.0313027203,-0.090955101,9.05359775e-06,30,1.95799994,1
21,274107400000788,127019312,2459024.6967911804,59024.193125,19.3131523,0.0841354877,0,zg,213.9409817,-25.3068302,1.76800001,0.203999996,20200624193125,274,0x7,0x4,20.8899994,26.1627998,0.0337742865,-0.0763942674,1.14065861e-05,30,1.91499996,1
22,274107400000788,127321038,2459027.713813904,59027.2103819,19.2472267,0.0802658573,0,zg,213.9410567,-25.3066509,0.324999988,0.0199999996,20200627210382,274,0x7,0x4,20.2700005,25.8779373,0.0393970981,-0.0576961376,2.25860695e-05,30,2.04399991,1
23,274107400000788,149852315,2459253.024159631,59252.5231597,19.3521652,0.0865023434,0,zg,213.9410635,-25.3068077,0.911000013,0.0610000007,20210207523160,274,0x7,0x4,20.7299995,26.1981468,0.0312740132,-0.105034061,1.01617497e-05,30,1.86800003,1
24,274107400000788,150152706,2459256.0283530625,59255.5270602,19.3270512,0.0849721432,0,zg,213.9410149,-25.3068017,1.52999997,0.0610000007,20210210527060,274,0x7,0x4,21.1200008,26.175005,0.0317336768,-0.106318049,9.44966814e-06,30,1.85800004,1
