Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
15,1627102300004095,75353329,2458508.0329481703,58507.5332986,15.7781029,0.0118604442,0,zg,229.2217966,19.0133955,0.423999995,-0.00700000022,20190124533287,1627,0x2,0x3,20.2000008,26.2927761,0.0355592482,-0.0557001643,3.59040496e-05,30,1.14100003,2
16,1627102300004095,76849767,2458522.9985449514,58522.4976736,15.7919149,0.0118793342,0,zg,229.2217681,19.013421,0.569999993,-0.0160000008,20190208497662,1627,0x2,0x3,21.7000008,26.2748604,0.0255283862,-0.0780225843,1.13998003e-05,30,1.125,2
17,1627102300004095,81342359,2458567.927543099,58567.4235995,15.7592306,0.0118352389,0,zg,229.2217709,19.0133977,0.838999987,0.0140000004,20190325423600,1627,0x2,0x3,20.5100002,26.2197781,0.0348212197,-0.0243580043,2.76073279e-05,30,1.03299999,1
18,1627102300004095,81441634,2458568.920334239,58568.4163426,15.7606983,0.0118371733,0,zg,229.2217789,19.0134086,0.713999987,-0.0280000009,20190326416331,1627,0x2,0x3,21.0799999,26.1952381,0.0310090706,-0.01282888,1.753377e-05,30,1.03799999,1
19,1627102300004095,81852925,2458573.033437911,58572.5292593,15.7629967,0.0118402131,0,zg,229.2217932,19.0134105,0.510999978,-0.00100000005,20190330529248,1627,0x2,0x3,20.3700008,26.2525959,0.0390304849,-0.0550778061,3.73970724e-05,30,1.15799999,1
20,1627102300004095,83424745,2458588.752154868,58588.2474537,15.8075352,0.0119011495,32768,zg,229.2217844,19.013419,0.773000002,0.114,20190415247454,1627,0x2,0x3,17.4400005,23.4532166,0.192844868,-0.0123411492,0.0730955079,30,1.49800003,1
21,1627102300004095,88817732,2458642.6813332,58642.1773264,15.7355452,0.0118045714,0,zg,229.2217897,19.0134198,0.716000021,-0.00400000019,20190608177326,1627,0x2,0x3,21.2299995,26.242136,0.0290529188,-0.0742582604,1.51016902e-05,30,1.10500002,2
22,1627102300004095,88817777,2458642.681784579,58642.1777778,15.7409954,0.0118115339,0,zg,229.2217888,19.0134179,0.382999986,0.0140000004,20190608177778,1627,0x2,0x3,21.2900009,26.2506027,0.0296687223,-0.0810428411,1.53730525e-05,30,1.10399997,3
0,1577114100007478,119043574,2458944.940178572,58944.4357407,15.5156937,0.0132918386,0,zg,229.2217877,19.0134132,0.579999983,0.00499999989,20200405435729,1577,0xe,0x1,20.2600002,26.2832146,0.0355935954,-0.0354042575,3.336386e-05,30,1.05799997,2
23,1627102300004095,119043619,2458944.9406299866,58944.4361921,15.5278921,0.0115784975,0,zg,229.2217967,19.0134156,0.416000009,-0.0179999992,20200405436181,1627,0x2,0x3,20.5900002,26.3120651,0.0355792232,-0.0655517802,2.67583528e-05,30,1.02199996,2
24,1627102300004095,119043664,2458944.9410814014,58944.4366435,15.5317459,0.0115820402,0,zg,229.2218008,19.0134207,0.344999999,0.00499999989,20200405436632,1627,0x2,0x3,20.6000004,26.3129292,0.0337820239,-0.068505317,2.428275e-05,30,1.02199996,3
1,1577114100007478,119043709,2458944.941532818,58944.4370949,15.5367355,0.0132938037,0,zg,229.2217949,19.0134057,0.419999987,0.00800000038,20200405437083,1577,0xe,0x1,20.4200001,26.285717,0.0345934778,-0.0430546366,2.81169978e-05,30,1.05900002,3
