,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,401109100003406,55946589,2458313.964542364,58313.4658912,17.910408,0.0316951498,0,zg,40.3029285,-1.4878015,2.079,0.125,20180714465868,401,0x9,0x1,21.0300007,25.7179089,0.0390680283,-0.0357818231,5.83267101e-05,30,2.15700006,1
1,401109100003406,56646258,2458320.9618736263,58320.462581,17.9720306,0.0330113396,32768,zg,40.3029721,-1.4878042,0.591000021,-0.00100000005,20180721462581,401,0x9,0x1,19.9200001,24.9042587,0.0634201542,-0.00634311233,0.00030789047,30,1.89999998,1
2,401109100003406,56944159,2458323.9411670174,58323.4415972,17.8662682,0.0307969339,0,zg,40.3028958,-1.4877414,1.19500005,-0.0480000004,20180724441597,401,0x9,0x1,20.6900005,25.920042,0.041381333,0.00216868287,7.43191631e-05,30,2.10500002,1
3,401109100003406,57348253,2458327.982482793,58327.4825347,17.8137779,0.0297752284,32768,zg,40.3029116,-1.4878216,1.05799997,0.0170000009,20180728482523,401,0x9,0x1,19.6100006,25.5741863,0.0447791219,-0.0886114538,0.000200504714,30,1.51499999,1
4,401109100003406,57646187,2458330.962102703,58330.461875,17.9256077,0.032012973,0,zg,40.3029719,-1.4878131,0.691999972,0.105999999,20180731461840,401,0x9,0x1,19.6100006,25.9467735,0.0397942625,6.02029759e-05,0.000136386603,30,1.60899997,1
5,401109100003406,58149928,2458335.999982375,58335.4992824,17.8736076,0.030943783,0,zg,40.302976,-1.4878092,0.985000014,0.107000001,20180805499248,401,0x9,0x1,20.0100002,26.0947037,0.0429776274,-0.00623202743,0.00011383932,30,1.33200002,1
6,401109100003406,58444017,2458338.9411478094,58338.4401736,17.8691616,0.030854702,0,zg,40.3029554,-1.487806,0.769999981,0.0670000017,20180808440162,401,0x9,0x1,20.9200001,26.0062351,0.0353240445,0.00393772451,4.98403679e-05,30,1.61199999,1
7,401109100003406,59143148,2458345.9330986803,58345.4314815,17.8484764,0.0304450579,0,zg,40.3029439,-1.4877869,1.23399997,0.0729999989,20180815431447,401,0x9,0x1,21.0300007,25.9591446,0.0406022556,-0.0217271242,6.46648841e-05,30,1.53699994,3
8,401109100003406,59143245,2458345.934070968,58345.4324537,17.8276978,0.0300413705,0,zg,40.3029636,-1.4877972,0.615999997,0.00300000003,20180815432419,401,0x9,0x1,21.0200005,25.9532242,0.0402167067,-0.00670477422,6.1169012e-05,30,1.52999997,1
9,401109100003406,59348079,2458347.982600815,58347.4807986,17.8209019,0.029911004,0,zg,40.302941,-1.4878545,1.602,0.152999997,20180817480799,401,0x9,0x1,21.7000008,26.0949535,0.030490417,-0.0369793847,3.32193158e-05,30,1.29799998,3
