Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,397115300019088,53244378,2458286.9428837225,58286.4437847,18.5852432,0.0450518653,0,zg,7.1321477,-0.0703527999999999,0.342999995,0.00100000005,20180617443773,397,0xf,0x3,20.9300003,26.1636486,0.0430874117,-0.074923411,0.000111021938,30,2.5769999,1
1,397115300019088,54645996,2458300.960425678,58300.4599653,18.6082153,0.0458099768,0,zg,7.1321452,-0.0703080999999999,0.920000017,-0.0489999987,20180701459954,397,0xf,0x3,20.2099991,26.2226505,0.0439681932,-0.0572546422,0.000154757916,30,1.653,1
2,397115300019088,55847894,2458312.980565179,58312.4789468,18.5571022,0.0441428088,0,zg,7.1321306,-0.0703388,0.721000016,0.064000003,20180713478935,397,0xf,0x3,21.5,26.1685715,0.0276462883,-0.0363514461,4.11619803e-05,30,1.34399998,1
3,397115300019088,56444122,2458318.94340085,58318.4412269,18.5699196,0.0445542112,0,zg,7.1321225,-0.0703195999999999,0.930000007,0.119000003,20180719441215,397,0xf,0x3,21.7600002,26.2637959,0.0312806778,-0.0492434986,5.15639513e-05,30,1.44099998,1
4,397115300019088,56744136,2458321.9438118623,58321.4413657,18.6038055,0.0456632972,0,zg,7.1321217,-0.0703195999999999,1.01400006,0.101999998,20180722441366,397,0xf,0x3,21.9200001,26.2870979,0.0289312676,-0.0529490449,4.52302265e-05,30,1.39999998,1
5,397115300019088,57043880,2458324.941520217,58324.4388079,18.5462303,0.0437972955,0,zg,7.132143,-0.0703136,0.739000022,-0.0579999983,20180725438750,397,0xf,0x3,20.5499992,26.0762653,0.0467074066,-0.0181661397,0.000157017595,30,1.375,1
6,397115300019088,58046318,2458334.9667350235,58334.4631829,18.5421524,0.0436685123,0,zg,7.1321115,-0.0703141999999999,0.375999987,0.0120000001,20180804463113,397,0xf,0x3,21.0499992,26.2648296,0.0410764553,-0.0432965718,0.000100804675,30,1.25399995,1
7,397115300019088,58339692,2458337.900702183,58337.3969213,18.5482311,0.0438606329,0,zg,7.1321069,-0.0703188,0.810000002,0.0299999993,20180807396863,397,0xf,0x3,21.5799999,26.2610302,0.0303510725,-0.0633863807,4.94299275e-05,30,1.40699995,1
8,397115300019088,58843511,2458342.939268659,58342.4351157,18.5156651,0.0428427346,0,zg,7.1321297,-0.0703151,0.486000001,-0.0250000004,20180812435081,397,0xf,0x3,21.8400002,26.1561966,0.0308357254,-0.0653702393,5.27965785e-05,30,1.26400006,1
9,397115300019088,59143614,2458345.9405068187,58345.4361458,18.4616737,0.0412158221,0,zg,7.1321241,-0.0702962,0.977999985,0.0599999987,20180815436111,397,0xf,0x3,21.3899994,26.186964,0.0380485505,-0.0306471884,7.74217406e-05,30,1.25600004,1
10,397115300019088,59143706,2458345.9414212788,58345.4370602,18.5130501,0.0427621901,0,zg,7.1321516,-0.0702988999999999,0.851999998,0.101000004,20180815437049,397,0xf,0x3,21.6200008,26.1936703,0.034309648,-0.0325923078,6.23297456e-05,30,1.25600004,3
11,397115300019088,59235621,2458346.860637933,58346.3562153,18.4861946,0.0419454314,0,zg,7.1321163,-0.0703271,0.513000011,0.00700000022,20180816356204,397,0xf,0x3,21.7199993,26.1136646,0.0318104401,-0.041170679,5.49156102e-05,30,1.50100005,3
12,397115300019088,59346157,2458347.9660694515,58347.4615741,18.5209732,0.0430067517,0,zg,7.1321401,-0.0703338,1.03999996,0.0240000002,20180817461574,397,0xf,0x3,21.9400005,26.2411613,0.0274349991,-0.0674097762,4.05777719e-05,30,1.25899994,3
13,397115300019088,59438137,2458348.885931975,58348.3813773,18.5261593,0.0431676954,0,zg,7.1321406,-0.0703214999999999,1.17200005,0.164000005,20180818381366,397,0xf,0x3,21.8700008,26.213419,0.0304867923,-0.0464284569,4.78697293e-05,30,1.35300004,1
14,397115300019088,59438228,2458348.8868348333,58348.3822801,18.5177002,0.0429055206,0,zg,7.1321409,-0.0703254999999999,0.911000013,0.0120000001,20180818382280,397,0xf,0x3,21.8700008,26.2069035,0.0307279769,-0.0450036302,4.82758951e-05,30,1.35000002,3
15,397115300019088,59541695,2458349.9215762173,58349.416956,18.5205479,0.0429935753,0,zg,7.1321549,-0.0703302999999999,0.823000014,-0.0289999992,20180819416956,397,0xf,0x3,21.9099998,26.2627602,0.0308254212,-0.0428301245,4.94771375e-05,30,1.26499999,3
16,397115300019088,59642260,2458350.927286749,58350.4226042,18.5024147,0.0424365252,0,zg,7.1321414,-0.0703222,0.555000007,-0.0109999999,20180820422604,397,0xf,0x3,21.9799995,26.2635708,0.029500423,-0.0468083508,4.39083306e-05,30,1.25800002,3
17,397115300019088,59741974,2458351.9244884644,58351.4197454,18.5449677,0.0437573865,0,zg,7.1321293,-0.0703022999999999,0.597000003,0.0799999982,20180821419745,397,0xf,0x3,22.0799999,26.2911854,0.0327173322,-0.0599588566,5.68658797e-05,30,1.25800002,1
18,397115300019088,59742065,2458351.92540282,58351.4206597,18.5063343,0.0425562188,0,zg,7.1321377,-0.0703292999999999,0.828000009,0.074000001,20180821420648,397,0xf,0x3,22.0499992,26.2653179,0.0285462365,-0.051100146,4.34633548e-05,30,1.25699997,3
19,397115300019088,60739979,2458361.9050663137,58361.3997917,18.5161037,0.0428562611,0,zg,7.1321374,-0.0703324,1.12899995,-0.0659999996,20180831399792,397,0xf,0x3,20.7099991,26.3332386,0.045127973,-0.0367454328,0.000120009492,30,1.23599994,1
20,397115300019088,60740070,2458361.905980657,58361.400706,18.5648098,0.0443896428,0,zg,7.1321117,-0.0703164,0.833000004,0.0790000036,20180831400706,397,0xf,0x3,20.7800007,26.3302517,0.0459148213,-0.0339753628,0.000127606312,30,1.23599994,3
21,397115300019088,60846215,2458362.967475683,58362.4621528,18.5337391,0.0434041955,0,zg,7.1321556,-0.0702995,0.254000008,0.0149999997,20180901462141,397,0xf,0x3,20.8799992,26.302145,0.0403741226,-0.0199100487,9.0904432e-05,30,1.32700002,3
22,397115300019088,60935832,2458363.863684134,58363.3583218,18.4816494,0.0418090224,0,zg,7.1321184,-0.070303,0.344000012,0.00999999978,20180902358310,397,0xf,0x3,20.9799995,26.2755394,0.0360765159,-0.0428009033,7.20181342e-05,30,1.28199995,3
776,1441106400004204,60937321,2458363.8785805823,58363.3732176,18.4958153,0.0464382991,0,zg,7.1321433,-0.0703248,0.43900001,0.00200000009,20180902373218,1441,0x6,0x4,20.6000004,26.2451363,0.0400896333,-0.0268382188,9.64986029e-05,30,1.19099998,2
23,397115300019088,61040000,2458364.9054066786,58364.4,18.492588,0.0421381779,0,zg,7.1321378,-0.0703152999999999,0.439999998,-0.0260000005,20180903399988,397,0xf,0x3,21.1499996,26.2785683,0.0358111151,-0.0444139168,6.85026753e-05,30,1.23500001,3
24,397115300019088,61041710,2458364.9225138915,58364.4171065,18.502573,0.0424413197,0,zg,7.1321405,-0.0703411,0.672999978,0.0280000009,20180903417095,397,0xf,0x3,21.2099991,26.2865887,0.0329815634,-0.0742210224,5.80369669e-05,30,1.24399996,1
25,397115300019088,61141230,2458365.9177514017,58365.4123032,18.5454292,0.0437719673,0,zg,7.1321492,-0.0703224999999999,1.11300004,0.115000002,20180904412257,397,0xf,0x3,21.5599995,26.3467102,0.0310404934,-0.0910097957,4.9007238e-05,30,1.24199998,3
26,397115300019088,61339832,2458367.9038469302,58367.3983218,18.4899254,0.0420577936,0,zg,7.1321298,-0.0703386,0.883000016,0.00600000005,20180906398322,397,0xf,0x3,21.9300003,26.2978382,0.0295840595,-0.0565865338,4.39390496e-05,30,1.23699999,1
27,397115300019088,61339923,2458367.904761264,58367.3992361,18.5102634,0.0426765941,0,zg,7.1321366,-0.0703238,0.675000012,0.0860000029,20180906399236,397,0xf,0x3,21.7700005,26.2782974,0.0288308542,-0.0457865112,4.26319239e-05,30,1.23699999,3
28,397115300019088,61438392,2458368.8894846444,58368.3839236,18.5160503,0.0428545997,0,zg,7.1321349,-0.0703021999999999,0.763000011,0.0560000017,20180907383877,397,0xf,0x3,21.8299999,26.328125,0.0270113759,-0.0678302571,3.76104726e-05,30,1.23500001,3
29,397115300019088,61532666,2458369.832260665,58369.3266667,18.5390892,0.0435720459,0,zg,7.1321169,-0.0702852,0.787,-0.0379999988,20180908326655,397,0xf,0x3,21.4699993,26.3272991,0.0314876735,-0.101478577,5.20817484e-05,30,1.324,3
30,397115300019088,61639284,2458370.8984767287,58370.3928472,18.5415535,0.0436496474,0,zg,7.1321441,-0.0703218,0.720000029,0.0610000007,20180909392847,397,0xf,0x3,21.7199993,26.3169193,0.035538055,-0.0533860736,6.38226411e-05,30,1.23800004,1
31,397115300019088,61639467,2458370.9003054886,58370.3946759,18.5429897,0.0436949022,0,zg,7.1321211,-0.0703214,0.674000025,0.0260000005,20180909394676,397,0xf,0x3,21.6399994,26.32337,0.0294191521,-0.0612494685,4.38298193e-05,30,1.23899996,3
32,397115300019088,61735857,2458371.8642365746,58371.3585764,18.5236435,0.0430895388,0,zg,7.1321571,-0.0703296999999999,0.91900003,0.0659999996,20180910358576,397,0xf,0x3,21.7800007,26.3358192,0.0295548812,-0.0559702106,4.46494378e-05,30,1.245,3
33,397115300019088,61840282,2458372.908515729,58372.4028241,18.4846039,0.0418976434,0,zg,7.1321437,-0.0703167999999999,0.853999972,0.0909999982,20180911402824,397,0xf,0x3,21.6499996,26.3206844,0.0306292996,-0.0507842079,4.83205331e-05,30,1.25300002,3
34,397115300019088,61939368,2458373.8994004573,58373.3936806,18.5046616,0.0425050557,0,zg,7.1321457,-0.0703106,0.689999998,-0.00999999978,20180912393669,397,0xf,0x3,21.6299992,26.3297234,0.0279004239,-0.0704934224,3.97538097e-05,30,1.245,1
35,397115300019088,61939459,2458373.9003147823,58373.3945949,18.511879,0.0427261963,0,zg,7.1321493,-0.0703198,0.588999987,0.0260000005,20180912394583,397,0xf,0x3,21.5799999,26.3369884,0.0301133972,-0.0778647065,4.6409441e-05,30,1.24600005,3
36,397115300019088,62041309,2458374.918837532,58374.4130903,18.5419025,0.0436606184,0,zg,7.1321346,-0.0703437999999999,1.19400001,0.0979999974,20180913413056,397,0xf,0x3,21.7700005,26.3523159,0.0293580201,-0.0764123499,4.42266319e-05,30,1.28100002,3
37,397115300019088,62142384,2458375.9296153043,58375.4238426,18.5426369,0.043683771,0,zg,7.1321558,-0.0703215999999999,0.996999979,0.0120000001,20180914423831,397,0xf,0x3,21.7399998,26.3278809,0.0263112895,-0.0540240183,3.57646968e-05,30,1.31799996,3
38,397115300019088,62232866,2458376.834463108,58376.328669,18.5548782,0.0440718569,32768,zg,7.132116,-0.0702908,0.906000018,-0.00400000019,20180915328657,397,0xf,0x3,21.6000004,26.3912048,0.0300830733,-0.13433294,4.74136395e-05,30,1.26900005,1
39,397115300019088,62233097,2458376.8367663613,58376.3309722,18.5487976,0.0438785814,0,zg,7.1321136,-0.0703165,0.656000018,0.0130000003,20180915330972,397,0xf,0x3,21.7900009,26.3570862,0.031313289,-0.0950969905,5.2155945e-05,30,1.26499999,3
40,397115300019088,62335883,2458377.8646478327,58377.358831,18.5482674,0.0438618027,0,zg,7.1321424,-0.0703157999999999,1.10599995,0.0879999995,20180916358819,397,0xf,0x3,21.7999992,26.2995796,0.0335178263,-0.0447215736,5.73659563e-05,30,1.23500001,3
41,397115300019088,62433839,2458378.844228016,58378.3383912,18.5666027,0.0444472954,0,zg,7.1321371,-0.0703266,0.728999972,0.0729999989,20180917338391,397,0xf,0x3,21.75,26.3230114,0.0312407967,-0.0592337996,4.97515539e-05,30,1.24699998,3
42,397115300019088,62535761,2458379.8634716296,58379.3576157,18.5223293,0.0430487506,0,zg,7.1321214,-0.0703367,0.634000003,0.00200000009,20180918357616,397,0xf,0x3,21.6700001,26.3274364,0.0310391821,-0.0522946715,4.87925354e-05,30,1.23500001,3
43,397115300019088,62535853,2458379.8643860454,58379.3585301,18.5135746,0.0427783243,0,zg,7.132131,-0.070328,0.635999978,-0.0309999995,20180918358530,397,0xf,0x3,21.6100006,26.3456268,0.0297032073,-0.0682585612,4.57874412e-05,30,1.23500001,1
