Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1635,756116100010564,44828853,2458202.792188585,58202.2885301,18.77742,0.0519825108,0,zg,191.0502442,50.7005534,0.873000026,0.101999998,20180325288484,756,0x10,0x1,20.9300003,26.2111893,0.0361913852,-0.044203978,4.770737e-05,30,1.09300005,2
1636,756116100010564,44829499,2458202.798658334,58202.295,18.7554398,0.0511311218,0,zg,191.050273,50.700581,1.10399997,0.103,20180325294988,756,0x10,0x1,20.9699993,26.2211132,0.0360030495,-0.0465454571,4.75694615e-05,30,1.08200002,1
1637,756116100010564,44829596,2458202.7996189115,58202.2959606,18.6540451,0.0473997146,0,zg,191.0502256,50.7005928,0.781000018,0.074000001,20180325295926,756,0x10,0x1,20.9899998,26.2191677,0.032891605,-0.0467137285,3.96873875e-05,30,1.08000004,2
0,755113100002786,44829644,2458202.8001051,58202.2964468,18.7895565,0.0616073012,0,zg,191.050224,50.7005958,0.759000003,0.00100000005,20180325296412,755,0xd,0x1,20.9500008,26.1686707,0.0332605839,-0.0609893315,3.59389996e-05,30,1.04700005,1
1638,756116100010564,44831746,2458202.821123113,58202.3174653,18.8603401,0.0553365983,0,zg,191.0502404,50.700634,1.00300002,0.158000007,20180325317465,756,0x10,0x1,21.0200005,26.2155933,0.0352587849,-0.0324858539,4.43734971e-05,30,1.05200005,2
1,755113100002786,44832748,2458202.8311459846,58202.3274884,18.7508373,0.0597958341,0,zg,191.0502608,50.7005911,0.508000016,0.064000003,20180325327488,755,0xd,0x1,21.2700005,26.1577702,0.0396134295,-0.0459662713,4.81182688e-05,30,1.03199995,1
1639,756116100010564,44834114,2458202.8448030665,58202.3411458,18.7529602,0.0510360487,0,zg,191.0502527,50.7006108,1.25,0.147,20180325341123,756,0x10,0x1,21.2099991,26.1975708,0.0358216614,-0.0307128374,4.52873173e-05,30,1.03499997,1
1640,756116100010564,44834206,2458202.845717445,58202.3420602,18.7853088,0.0522918329,0,zg,191.0502199,50.7006077,2.09800005,0.279000014,20180325342049,756,0x10,0x1,21.2000008,26.2190933,0.0372229628,-0.0352253765,4.87764883e-05,30,1.03499997,2
1641,756116100010564,44836326,2458202.866920653,58202.3632639,18.8162727,0.0535257198,0,zg,191.0502318,50.7005859,1.32799995,0.273000002,20180325363252,756,0x10,0x1,21.2099991,26.2002335,0.0307382531,-0.0293003414,3.30485564e-05,30,1.03199995,2
1642,756116100010564,44934819,2458203.851827706,58203.3481944,18.7678528,0.0516100153,0,zg,191.0502643,50.7006042,0.91900003,0.0560000017,20180326348183,756,0x10,0x1,20.9200001,26.2265835,0.0346244723,-0.0486176498,4.46692502e-05,30,1.03199995,2
