,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,1334107400013269,139129188,2459145.7953139665,59145.2918866,17.3827229,0.0237412229,0,zg,342.9810449,-22.2342502,0.867999971,0.0140000004,20201023291887,1334,0x7,0x4,21.2299995,26.0528507,0.0311608519,-0.0670451149,1.7563445e-05,30,2.28600001,2
1,1334107400013269,142718790,2459181.68804152,59181.1879051,17.2317657,0.0221282579,0,zg,342.9810516,-22.2342176,0.754999995,0.0469999984,20201128187905,1334,0x7,0x4,18.9400005,26.0939808,0.0450379662,-0.0400613882,0.000160904194,30,2.204,2
2,1334107400013269,142916532,2459183.6652673534,59183.1653241,17.3342133,0.0231995713,0,zg,342.9809807,-22.2342953,0.593999982,0.00499999989,20201130165278,1334,0x7,0x4,19.0599995,26.0680218,0.0429901145,-0.0517829992,0.000118133816,30,2.00900006,2
3,1334107400013269,142916578,2459183.6657302133,59183.165787,17.2323895,0.0221344922,0,zg,342.9810368,-22.2342809,0.72299999,0.00100000005,20201130165787,1334,0x7,0x4,19.0799999,26.028635,0.0415882766,-0.0340793058,0.000109895518,30,2.01300001,3
4,1334107400013269,167141180,2459425.9169792123,59425.4118056,17.2631378,0.022446204,0,zg,342.9810274,-22.2342836,0.637000024,0.0179999992,20210730411794,1334,0x7,0x4,20.3799992,25.9359131,0.0393606946,-0.0431142189,3.94348754e-05,30,1.69200003,2
5,1334107400013269,167141226,2459425.9174421327,59425.4122685,17.266674,0.0224825852,0,zg,342.981028,-22.2342849,0.439999998,0.0549999997,20210730412269,1334,0x7,0x4,20.4300003,25.9804611,0.0393319093,-0.0473053008,3.83257793e-05,30,1.69099998,3
6,1334107400013269,170832878,2459462.834570648,59462.3287847,17.2893829,0.022718966,0,zg,342.9810216,-22.2342798,0.788999975,0.00300000003,20210905328773,1334,0x7,0x4,21.0300007,26.1874409,0.0321563743,-0.0772351623,1.94008499e-05,30,1.68900001,2
7,1334107400013269,170832924,2459462.8350336426,59462.3292477,17.280777,0.0226288363,0,zg,342.9810334,-22.2342656,0.902999997,0.0520000011,20210905329248,1334,0x7,0x4,21.0599995,26.1797867,0.0340254419,-0.0733235255,2.09723603e-05,30,1.68900001,3
8,1334107400013269,172437466,2459478.8800363895,59478.3746644,17.3003521,0.0228348244,0,zg,342.9810991,-22.234206,0.65200001,0.0780000016,20210921374653,1334,0x7,0x4,18.5799999,26.0371017,0.042006921,-0.0236528087,0.000153257424,30,2.20900011,2
9,1334107400013269,172637539,2459480.880685835,59480.3753935,17.3844261,0.0237606633,0,zg,342.9810324,-22.2342867,0.675999999,-0.0309999995,20210923375394,1334,0x7,0x4,19.3999996,25.9658642,0.0451488085,-0.0516450852,0.00010569804,30,2.29999995,2
10,1334107400013269,175120857,2459505.7124145566,59505.2085764,17.3361893,0.0232211985,0,zg,342.9810175,-22.2343016,0.745999992,0.00400000019,20211018208565,1334,0x7,0x4,19.7099991,26.1934376,0.0431119129,-0.0504842587,7.07545623e-05,30,1.68700004,2
11,1334107400013269,176723743,2459521.739955934,59521.2374306,17.3616199,0.0235027838,0,zg,342.981036,-22.234286,1.59300005,0.0780000016,20211103237419,1334,0x7,0x4,21.1100006,26.1699142,0.0320161879,-0.074866496,1.86788202e-05,30,1.98699999,2
12,1334107400013269,177124513,2459525.747303091,59525.2451389,17.3468056,0.0233379826,0,zg,342.9810274,-22.234289,1.31500006,0.0149999997,20211107245127,1334,0x7,0x4,21.1499996,26.1299114,0.0311783776,-0.0816629976,1.78536702e-05,30,2.19300008,2
13,1334107400013269,177324923,2459527.751215945,59527.2492361,17.3609924,0.0234957542,32768,zg,342.9810275,-22.2342822,0.859000027,0.0370000005,20211109249213,1334,0x7,0x4,20.0799999,25.838171,0.0509899184,-0.0426683687,7.91037746e-05,30,2.33400011,2
14,1334107400013269,202641505,2459780.9197003874,59780.4150579,17.3498993,0.0233722311,0,zg,342.9810145,-22.2342764,0.670000017,-0.00999999978,20220720415046,1334,0x7,0x4,20.4699993,26.035284,0.036818061,-0.105161577,3.36430348e-05,30,1.74300003,2
15,1334107400013269,204836537,2459802.870968804,59802.3653704,17.3725471,0.0236256979,0,zg,342.9810056,-22.2342806,0.657999992,0.074000001,20220811365370,1334,0x7,0x4,19.7199993,26.2016544,0.0352002643,-0.0385180563,4.66557212e-05,30,1.71399999,2
16,1334107400013269,205231248,2459806.818183212,59806.3124884,17.2733536,0.022551626,0,zg,342.9810152,-22.2343059,0.356999993,-0.00899999961,20220815312477,1334,0x7,0x4,19.8999996,26.0551796,0.0390722603,-0.0474341996,5.27680604e-05,30,1.90699995,2
17,1334107400013269,205341310,2459807.9188192864,59807.4131019,17.2901707,0.0227272511,0,zg,342.9810407,-22.2342615,0.855000019,0.0540000014,20220816413102,1334,0x7,0x4,20.2700005,26.1220818,0.0386989713,-0.0693030208,3.99508426e-05,30,1.74600005,2
18,1334107400013269,205537519,2459809.880949684,59809.3751968,17.2669983,0.0224859286,0,zg,342.9810235,-22.2342812,0.663999975,0.00499999989,20220818375185,1334,0x7,0x4,20.5799999,26.0648575,0.0366203971,-0.0658568516,3.09273928e-05,30,1.68700004,2
19,1334107400013269,205637418,2459810.8799584084,59810.3741898,17.2991562,0.0228221398,0,zg,342.9810246,-22.2342709,0.633000016,0.0419999994,20220819374190,1334,0x7,0x4,20.6499996,25.9565411,0.0379904322,-0.0403902307,3.28771639e-05,30,1.68700004,2
20,1334107400013269,205739270,2459811.8984912974,59811.3927083,17.2548428,0.0223612785,0,zg,342.9810336,-22.2343236,0.952000022,0.0329999998,20220820392708,1334,0x7,0x4,20.6299992,26.0197945,0.0364392586,-0.0527570918,2.81316061e-05,30,1.71800005,2
21,1334107400013269,205838224,2459812.8880407894,59812.3822454,17.2353897,0.0221645404,0,zg,342.9810314,-22.2342979,0.813000023,0.0309999995,20220821382245,1334,0x7,0x4,21.0,26.0954723,0.0349875242,-0.0626612529,2.36251908e-05,30,1.70200002,2
22,1334107400013269,205932706,2459813.832865948,59813.3270602,17.2467537,0.0222790688,0,zg,342.9810293,-22.2342926,1.01100004,0.0299999993,20220822327049,1334,0x7,0x4,21.0799999,26.0634804,0.0338068493,-0.0864485204,2.10484395e-05,30,1.73699999,2
23,1334107400013269,206030892,2459814.814738584,59814.3089236,17.2621822,0.0224363841,0,zg,342.9810008,-22.234288,1.04299998,0.057,20220823308912,1334,0x7,0x4,21.2700005,26.0921326,0.0328616425,-0.0765690655,1.9249921e-05,30,1.79700005,2
24,1334107400013269,206133368,2459815.839503569,59815.3336806,17.2384071,0.0221948382,0,zg,342.9810125,-22.2342835,1.07500005,0.0839999989,20220824333681,1334,0x7,0x4,21.2399998,26.0401287,0.0318657532,-0.0538249984,1.81542364e-05,30,1.70599997,2
25,1334107400013269,206538421,2459819.8900507754,59819.384213,17.197752,0.0217932574,0,zg,342.9810421,-22.2342638,0.638999999,-0.0199999996,20220828384213,1334,0x7,0x4,21.3199997,26.1993771,0.0330043845,-0.115019456,1.95841185e-05,30,1.75899994,2
26,1334107400013269,206625614,2459820.76198324,59820.2561458,17.1911449,0.0217293371,32768,zg,342.9809972,-22.2343063,0.448000014,0.0209999997,20220829256134,1334,0x7,0x4,20.9300003,25.9694366,0.0337220803,-0.0618754737,2.2680344e-05,30,2.06900001,2
27,1334107400013269,206737076,2459821.8765991493,59821.3707639,17.1737976,0.0215632524,0,zg,342.9810422,-22.2342814,1.51900005,0.0329999998,20220830370729,1334,0x7,0x4,21.1800003,26.1910706,0.0327394083,-0.0925796404,1.96324345e-05,30,1.73199999,2
28,1334107400013269,206833313,2459822.8389683086,59822.3331366,17.1906776,0.0217248313,0,zg,342.9810209,-22.2342867,1.12899995,0.0250000004,20220831332824,1334,0x7,0x4,21.1100006,26.1592808,0.0316650197,-0.0757992044,1.86259513e-05,30,1.68700004,2
29,1334207400026898,68914224,2458443.6431162963,58443.1422454,17.0860443,0.0177090503,0,zr,342.9810374,-22.2343098,0.809000015,0.0799999982,20181121142234,1334,0x7,0x4,20.25,26.1599331,0.0313095301,0.110238001,1.75100486e-05,30,1.78299999,2
30,1334207400026898,130741658,2459061.9218148245,59061.4165856,17.0596809,0.0175079554,0,zr,342.9810323,-22.2343132,1.55799997,0.114,20200731416528,1334,0x7,0x4,21.1599998,26.2075844,0.0221461095,0.111481778,8.69897758e-06,30,1.69200003,3
31,1334207400026898,139222475,2459146.7281095507,59146.2247569,17.282629,0.0193887558,32768,zr,342.9810182,-22.2342632,0.151999995,0.00200000009,20201024224688,1334,0x7,0x4,18.6800003,24.7177582,0.0965939984,0.103467971,0.000403572252,30,1.75100005,2
32,1334207400026898,139222521,2459146.728572513,59146.2252199,17.1858177,0.0185204148,32768,zr,342.9810094,-22.2342581,0.349000007,0.0299999993,20201024225220,1334,0x7,0x4,18.8299999,24.7808819,0.0744733363,0.139844298,0.000209416394,30,1.75300002,3
33,1334207400026898,142912052,2459183.620468453,59183.1205208,17.0547333,0.017470805,0,zr,342.9810347,-22.2342535,0.760999978,-0.0140000004,20201130120521,1334,0x7,0x4,19.3500004,26.2172871,0.0442244895,0.126046404,3.89324523e-05,30,1.74000001,2
34,1334207400026898,142912098,2459183.6209313986,59183.1209838,17.0485344,0.0174245313,0,zr,342.9809557,-22.2343168,0.836000025,0.0130000003,20201130120984,1334,0x7,0x4,19.4300003,26.2131081,0.0466399975,0.122862674,4.13073576e-05,30,1.74199998,3
35,1334207400026898,167541612,2459429.9214645373,59429.4161227,17.0575104,0.0174916349,0,zr,342.9810258,-22.2342821,1.60599995,0.152999997,20210803416123,1334,0x7,0x4,21.1599998,26.1818314,0.0224656276,0.119793706,8.8647912e-06,30,1.68700004,2
36,1334207400026898,169841619,2459452.9220264032,59452.4161921,17.0505943,0.0174398758,32768,zr,342.9810227,-22.2342235,0.453999996,-0.0460000001,20210826416192,1334,0x7,0x4,16.7800007,24.7379112,0.26047489,0.202486172,0.0216620937,30,1.90799999,3
37,1334207400026898,170035020,2459454.856045731,59454.3502083,17.0941448,0.0177719258,0,zr,342.9810099,-22.2343116,1.46399999,0.119000003,20210828350197,1334,0x7,0x4,20.9599991,26.2107315,0.0252736825,0.114194728,1.13201168e-05,30,1.68799996,2
38,1334207400026898,170035067,2459454.8565087304,59454.3506713,17.0703259,0.0175884999,0,zr,342.9810112,-22.2343234,1.61099994,0.115000002,20210828350671,1334,0x7,0x4,21.1599998,26.2329102,0.0251259804,0.110072494,1.10891515e-05,30,1.68900001,3
39,1334207400026898,171035172,2459464.8574809018,59464.3517245,17.1183128,0.0179626103,0,zr,342.9810136,-22.2343037,0.986000001,0.123000003,20210907351713,1334,0x7,0x4,21.2000008,26.1817875,0.0224514343,0.11064785,8.92855587e-06,30,1.74399996,2
40,1334207400026898,171436565,2459468.871337848,59468.3656597,17.1277809,0.0180385839,0,zr,342.9810174,-22.2343032,1.33700001,0.135000005,20210911365625,1334,0x7,0x4,21.0400009,26.149498,0.0246867687,0.116598584,1.07294782e-05,30,1.86199999,2
41,1334207400026898,172026821,2459474.7737340527,59474.2682176,17.1629639,0.018327333,0,zr,342.9810278,-22.2342725,1.05900002,0.143999994,20210917268125,1334,0x7,0x4,20.2800007,26.1945534,0.0349369496,0.127038822,2.15673826e-05,30,1.70500004,2
42,1334207400026898,175125296,2459505.75679786,59505.252963,17.1550007,0.0182610843,0,zr,342.9810387,-22.2342838,1.42400002,0.125,20211018252569,1334,0x7,0x4,19.9300003,26.2358665,0.0321331955,0.108340226,1.80591342e-05,30,1.79700005,2
43,1334207400026898,176914600,2459523.6483616037,59523.1460069,17.1256065,0.0180210695,0,zr,342.9810179,-22.2343015,1.45299995,0.112000003,20211105145995,1334,0x7,0x4,21.3400002,26.2668037,0.0226175897,0.116745189,8.93461674e-06,30,1.69000006,2
44,1334207400026898,177224913,2459526.751204025,59526.2491319,17.1235619,0.0180046409,0,zr,342.9810215,-22.2342816,1.56099999,0.114,20211108249097,1334,0x7,0x4,21.1000004,26.2112694,0.0242637042,0.117242545,1.03481898e-05,30,2.28900003,2
45,1334207400026898,179613784,2459550.637623202,59550.1378472,16.9847946,0.0169653445,0,zr,342.9810326,-22.2342869,0.734000027,0.0450000018,20211202137836,1334,0x7,0x4,20.8099995,26.2437572,0.0261570029,0.117396519,1.2069182e-05,30,1.83800006,2
46,1334207400026898,202540839,2459779.9129740563,59779.4083912,17.1806679,0.0184765197,0,zr,342.9810264,-22.2343094,0.90200001,0.0860000029,20220719408380,1334,0x7,0x4,20.5900002,26.1735115,0.0261740312,0.121323906,1.18958651e-05,30,1.77900004,2
47,1334207400026898,204037211,2459794.877448574,59794.3721181,17.1426697,0.0181595385,0,zr,342.9810328,-22.2342721,0.91900003,0.107000001,20220803372118,1334,0x7,0x4,20.8400002,25.9539661,0.0312056039,0.114851713,1.7056067e-05,30,1.75999999,2
48,1334207400026898,204347545,2459797.980897268,59797.4754514,17.1988144,0.018632194,0,zr,342.9810223,-22.2342961,1.15600002,0.214000002,20220806475440,1334,0x7,0x4,21.1700001,26.2375431,0.0232761987,0.109572202,9.59173212e-06,30,1.93799996,2
49,1334207400026898,205238269,2459806.888393125,59806.3826968,17.1313133,0.0180671159,0,zr,342.9809994,-22.2342698,1.74300003,0.115000002,20220815382662,1334,0x7,0x4,20.2000008,26.1902695,0.0386874788,0.122504659,2.65129092e-05,30,1.68700004,2
50,1334207400026898,205334393,2459807.8496512263,59807.3439352,17.1150246,0.0179363862,0,zr,342.9809982,-22.2342968,1.21200001,0.0930000022,20220816343924,1334,0x7,0x4,20.75,26.1594391,0.0300582778,0.106583126,1.58592266e-05,30,1.73500001,2
51,1334207400026898,205436103,2459808.8667653985,59808.3610301,17.2549267,0.0191317368,32768,zr,342.9810148,-22.2342706,0.885999978,0.119000003,20220817361018,1334,0x7,0x4,20.5400009,25.9636955,0.105026998,0.0838972256,0.00019337103,30,1.69400001,2
52,1334207400026898,205632349,2459810.829263241,59810.3234954,17.1069813,0.0178726241,32768,zr,342.9810353,-22.2342808,1.30799997,0.0869999975,20220819323495,1334,0x7,0x4,20.5300007,25.8710842,0.0774916485,0.123251371,0.000105130173,30,1.78100002,2
53,1334207400026898,205736321,2459811.869000208,59811.3632176,17.1172028,0.0179537516,0,zr,342.9810143,-22.2343072,0.880999982,0.112999998,20220820363218,1334,0x7,0x4,21.1000004,26.1360359,0.0231970362,0.120630987,9.40452901e-06,30,1.68599999,2
54,1334207400026898,205835266,2459812.858457044,59812.352662,17.0871868,0.0177178849,0,zr,342.9810057,-22.2342966,1.875,0.144999996,20220821352662,1334,0x7,0x4,21.2700005,26.1671162,0.0229666121,0.117031388,9.27047222e-06,30,1.69099998,2
55,1334207400026898,205939372,2459813.899533325,59813.3937269,17.0778427,0.0176459122,0,zr,342.9810222,-22.2342707,0.94599998,0.0659999996,20220822393681,1334,0x7,0x4,20.7800007,26.1636524,0.0283487327,0.111943699,1.41448736e-05,30,1.73599994,2
56,1334207400026898,206041565,2459814.92147559,59814.4156597,17.0907173,0.017745262,0,zr,342.981021,-22.2342648,1.90999997,0.126000002,20220823415637,1334,0x7,0x4,21.2299995,26.1507301,0.0245103911,0.118071064,1.06218567e-05,30,1.84500003,2
57,1334207400026898,206130634,2459815.812165372,59815.3063426,17.068943,0.017577989,0,zr,342.9809959,-22.2342755,1.82799995,0.158000007,20220824306331,1334,0x7,0x4,21.2299995,26.1164989,0.0249275975,0.114127725,1.08838094e-05,30,1.79700005,2
58,1334207400026898,206233188,2459816.8377157007,59816.3318866,17.165947,0.0183522813,0,zr,342.9810441,-22.2343129,1.76600003,0.194000006,20220825331782,1334,0x7,0x4,20.9799995,26.1444817,0.0284366347,0.103147492,1.43640591e-05,30,1.70500004,2
