Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,608114100007629,45016023,2458204.65753153,58204.1602315,16.3215218,0.0168033615,32768,zg,62.4023791,29.3753376,0.721000016,0.023,20180327160231,608,0xe,0x1,18.4899998,26.1172447,0.0600626208,-0.0199671481,0.000977204298,30,1.74699998,1
1,608114100007629,56047422,2458314.9704176574,58314.4742245,16.898407,0.0190162715,0,zg,62.4024859,29.3753592,5.31799984,0.479999989,20180715474213,608,0xe,0x1,20.6800003,25.6125298,0.0448316559,-0.0351377651,3.54135482e-05,30,2.25,1
2,608114100007629,56846608,2458322.9628801043,58322.466088,16.7974396,0.0185106974,0,zg,62.402478,29.3754294,5.44899988,0.569999993,20180723466007,608,0xe,0x1,21.0100002,26.0833759,0.0391622894,-0.0287288167,2.25627336e-05,30,1.98099995,1
3,608114100007629,57144591,2458325.942945865,58325.4459144,16.8596573,0.0188153256,0,zg,62.402547,29.3753785,2.59800005,0.131999999,20180726445833,608,0xe,0x1,19.3400002,25.9228687,0.0441307202,-0.0355067439,8.55593025e-05,30,2.21700001,1
4,608114100007629,57748468,2458331.982227534,58331.4846875,16.7363739,0.0182323027,0,zg,62.4025145,29.3753952,6.25899982,0.615999997,20180801484687,608,0xe,0x1,20.5,26.0890579,0.0417798571,-0.0105487928,3.55292032e-05,30,1.46300006,1
5,608114100007629,58049127,2458334.989076809,58334.4912731,16.8559685,0.0187966488,0,zg,62.4025299,29.375349,6.19700003,0.699000001,20180804491273,608,0xe,0x1,20.4699993,26.1678696,0.0391958021,-0.0176968295,3.03241959e-05,30,1.35599995,1
6,608114100007629,58444302,2458338.9411802585,58338.4430208,16.7580338,0.018328784,0,zg,62.4025257,29.3754641,6.53999996,0.218999997,20180808443009,608,0xe,0x1,20.6299992,26.0579281,0.0477009416,-0.0115893902,3.85126914e-05,30,1.68700004,1
7,608114100007629,58648966,2458340.988011837,58340.4896644,16.7597923,0.0183367245,0,zg,62.4025025,29.3753944,6.69099998,0.540000021,20180810489653,608,0xe,0x1,20.8999996,25.8911934,0.0440488793,-0.0236174576,3.15236939e-05,30,1.26999998,3
8,608114100007629,58844261,2458342.941144481,58342.4426157,16.72715,0.0181919578,0,zg,62.4024694,29.3753963,5.82399988,0.314999998,20180812442604,608,0xe,0x1,20.6599998,25.9099522,0.0430252738,-0.0121587729,3.23533823e-05,30,1.57500005,1
9,608114100007629,58844353,2458342.942058967,58342.4435301,16.8015556,0.0185301863,0,zg,62.4024846,29.3753343,6.84800005,0.617999971,20180812443519,608,0xe,0x1,20.9599991,25.9336929,0.0394715555,-0.0267921798,2.50533249e-05,30,1.56599998,3
10,608114100007629,58944524,2458343.943865712,58343.4452431,16.7615528,0.0183446929,0,zg,62.4024779,29.3753188,7.42799997,0.711000025,20180813445231,608,0xe,0x1,21.2999992,26.0993214,0.0366414003,-0.0377787724,1.86376492e-05,30,1.52400005,3
11,608114100007629,59049837,2458344.997101285,58344.4983796,16.7189598,0.0181564987,0,zg,62.4024584,29.3753393,6.60099983,0.439999998,20180814498322,608,0xe,0x1,21.3799992,26.1879253,0.0336826108,-0.0416632667,1.56710303e-05,30,1.18200004,3
12,608114100007629,59145318,2458345.9519947222,58345.4531829,16.751936,0.0183013771,0,zg,62.402461,29.3754263,6.96400023,0.493000001,20180815453171,608,0xe,0x1,21.0499992,26.0551491,0.0396802202,-0.0233037919,2.29432935e-05,30,1.41400003,1
13,608114100007629,59449428,2458348.993383664,58348.4942824,16.649641,0.0178698506,0,zg,62.4024819,29.3753858,6.42000008,0.507000029,20180818494271,608,0xe,0x1,21.6900005,26.1969585,0.0308281668,-0.0471076556,1.23339005e-05,30,1.15699995,1
14,608114100007629,59746510,2458351.9644908225,58351.4651042,16.7654228,0.0183622614,0,zg,62.4025597,29.3753242,6.95599985,0.587000012,20180821465093,608,0xe,0x1,21.8500004,26.1985226,0.0305211637,-0.0515152551,1.18538301e-05,30,1.24399996,1
15,608114100007629,60645559,2458360.955849428,58360.4555903,16.9589081,0.0193480868,0,zg,62.4025408,29.3753817,4.82600021,0.409000009,20180830455405,608,0xe,0x1,20.2299995,26.2713013,0.0429553464,-0.0290622227,4.55250847e-05,30,1.17400002,1
16,608114100007629,61147652,2458365.977274784,58365.4765278,16.9602394,0.0193556435,0,zg,62.4024693,29.3753932,7.06799984,1.05799997,20180904476516,608,0xe,0x1,21.1599998,26.2647648,0.0365924537,-0.0416931063,1.94213335e-05,30,1.07299995,1
17,608114100007629,61448711,2458368.9881559326,58368.4871181,16.6926079,0.0180447269,0,zg,62.4024782,29.3753836,6.90899992,0.629999995,20180907487118,608,0xe,0x1,21.7600002,26.2811146,0.0303678624,-0.0569464937,1.18535736e-05,30,1.03999996,1
18,608114100007629,61748847,2458371.989797765,58371.4884722,16.7999821,0.0185227264,0,zg,62.4024957,29.375465,6.8210001,0.55400002,20180910488472,608,0xe,0x1,21.5900002,26.2949772,0.031443119,-0.0503673628,1.28619486e-05,30,1.028,1
19,608114100007629,62044722,2458374.9488284406,58374.4472222,16.844862,0.0187409054,0,zg,62.4024061,29.3753242,6.56500006,0.620000005,20180913447211,608,0xe,0x1,21.6499996,26.3023815,0.0291682612,-0.0618532971,1.11102991e-05,30,1.08399999,1
20,608114100007629,62348958,2458377.991474288,58377.4895833,16.7727089,0.0183955543,0,zg,62.4024417,29.375313,6.15399981,0.545000017,20180916489572,608,0xe,0x1,21.8799992,26.2695999,0.0283583086,-0.0584437363,1.04809669e-05,30,1.01300001,1
1444,1653106200020781,62547577,2458379.977849879,58379.4757755,16.9062119,0.0205812864,0,zg,62.4024621,29.3753548,5.31500006,0.469999999,20180918475764,1653,0x6,0x2,21.6499996,26.2624397,0.0297348853,-0.0598841347,1.13221004e-05,30,1.01400006,2
21,608114100007629,62649746,2458380.999633168,58380.4974653,16.9667912,0.0193929952,0,zg,62.4024931,29.3753547,6.45800018,0.31400001,20180919497465,608,0xe,0x1,21.7900009,26.3647938,0.0318108425,-0.107036471,1.33699314e-05,30,1.00800002,1
22,608114100007629,62946550,2458383.967945173,58383.4655093,16.8832817,0.0189367831,0,zg,62.4024827,29.3754312,5.48000002,0.647000015,20180922465498,608,0xe,0x1,21.7600002,26.2741566,0.0292995386,-0.0625285357,1.14073337e-05,30,1.01800001,1
23,608114100007629,63035395,2458384.8564732345,58384.3539583,16.9847641,0.0194968656,0,zg,62.4024601,29.3753537,5.34800005,0.541000009,20180923353947,608,0xe,0x1,20.4400005,26.132679,0.0460049286,-0.0567057841,4.742089e-05,30,1.35500002,1
1445,1653106200020781,63035440,2458384.8569246707,58384.3544097,16.9329948,0.0206988994,0,zg,62.4025082,29.3753975,4.53999996,0.497999996,20180923354410,1653,0x6,0x2,20.3199997,25.9622459,0.0504543483,-0.0306262579,6.07242873e-05,30,1.34200001,2
1446,1653106200020781,63141018,2458385.9127935288,58385.4101852,16.9872036,0.020951923,0,zg,62.4024972,29.3753771,3.35800004,0.337000012,20180924410174,1653,0x6,0x2,20.1399994,26.2124577,0.0471366607,-0.0370896868,5.38387103e-05,30,1.097,2
24,608114100007629,63142195,2458385.9245653707,58385.421956,16.8445778,0.0187394824,0,zg,62.402497,29.3753738,4.55000019,0.545000017,20180924421956,608,0xe,0x1,20.5900002,26.2748928,0.0411538333,-0.0485984273,3.54769691e-05,30,1.07299995,1
1447,1653106200020781,63247950,2458386.9822043567,58386.4795023,16.8724098,0.0204395931,0,zg,62.4024516,29.3754223,3.99900007,0.504999995,20180925479502,1653,0x6,0x2,20.2299995,26.2302876,0.0420285538,-0.0293073393,4.10555949e-05,30,1.00300002,2
25,608114100007629,63251746,2458387.020170663,58386.5174653,16.995182,0.0195580218,0,zg,62.4024973,29.3753748,4.83900023,0.493999988,20180925517431,608,0xe,0x1,20.5200005,26.3083973,0.0402926691,-0.0670891628,3.48488684e-05,30,1.02600002,1
1448,1653106200020781,63438719,2458388.890066182,58388.3871991,16.8704872,0.0204317626,0,zg,62.4025064,29.3753732,5.20699978,0.560000002,20180927387187,1653,0x6,0x2,20.5300007,26.1790123,0.0400039665,-0.0180845093,3.38287173e-05,30,1.13999999,2
26,608114100007629,63438765,2458388.890517626,58388.3876505,16.8024445,0.0185343996,0,zg,62.4024421,29.3753583,5.33500004,0.493000001,20180927387650,608,0xe,0x1,20.5,26.2443218,0.0414449684,-0.0400455743,3.85109997e-05,30,1.14400005,1
27,608114100007629,63540046,2458389.903416611,58389.400463,16.8655415,0.0188452713,0,zg,62.40251,29.3754022,5.89400005,0.488999993,20180928400301,608,0xe,0x1,20.6100006,26.2779713,0.0413397104,-0.0432440154,3.53535688e-05,30,1.09800005,1
28,608114100007629,63542650,2458389.9294604408,58389.4265046,16.9232864,0.0191500075,0,zg,62.4024334,29.3753907,5.08199978,0.667999983,20180928426493,608,0xe,0x1,20.6700001,26.285078,0.0387341604,-0.0504079089,2.87220118e-05,30,1.04499996,1
1449,1653106200020781,63542787,2458389.9308263534,58389.4278704,17.0285091,0.0211586654,0,zg,62.4024968,29.3753754,5.39300013,0.593999982,20180928427870,1653,0x6,0x2,20.6700001,26.2542782,0.0418831855,-0.0679808632,3.46376582e-05,30,1.03900003,2
29,608114100007629,64338116,2458397.884772927,58397.381169,16.8352242,0.0186930988,0,zg,62.4024933,29.3753695,5.77600002,0.505999982,20181006381157,608,0xe,0x1,21.8899994,26.2388935,0.0309834722,-0.0593551509,1.29242799e-05,30,1.09099996,1
400,608114100025212,64338116,2458397.8847728856,58397.381169,18.2996559,0.0356012322,0,zg,62.4028906,29.3759841,4.5250001,0.472000003,20181006381157,608,0xe,0x1,21.8899994,26.2388935,0.0309834722,-0.0593551509,1.29242799e-05,30,1.09099996,1
30,608114100007629,66842484,2458422.9300224017,58422.4248495,16.7569389,0.0183238424,0,zg,62.4024775,29.3753955,3.99300003,0.0939999968,20181031424688,608,0xe,0x1,20.5300007,26.2732754,0.0434347354,-0.0537119061,3.63962754e-05,30,1.03499997,1
31,608114100007629,66843160,2458422.936782006,58422.4316088,16.8678017,0.0188568328,0,zg,62.4025021,29.3754381,4.95800018,0.577000022,20181031431597,608,0xe,0x1,21.1900005,26.2557526,0.0353935547,-0.0480780266,1.8368326e-05,30,1.04499996,1
1450,1653106200020781,66843206,2458422.937233432,58422.4320602,16.9511185,0.0207812339,0,zg,62.4024324,29.3753433,5.05900002,0.379999995,20181031432060,1653,0x6,0x2,21.1000004,26.2209492,0.0349235162,-0.0586950146,1.77416969e-05,30,1.03299999,2
401,608114100025212,66942868,2458423.9338984746,58423.4286806,17.9754982,0.0295821279,0,zg,62.4028758,29.3760679,0.964999974,0.0649999976,20181101428681,608,0xe,0x1,20.5499992,26.2920303,0.0423423015,-0.0463163629,3.18624298e-05,30,1.04400003,1
32,608114100007629,66942868,2458423.9338985025,58423.4286806,16.7325592,0.0182155631,0,zg,62.402528,29.3753538,3.00999999,0.0649999976,20181101428681,608,0xe,0x1,20.5499992,26.2920303,0.0423423015,-0.0463163629,3.18624298e-05,30,1.04400003,1
1451,1653106200020781,66942914,2458423.934361424,58423.4291435,16.8069878,0.0201860182,0,zg,62.4024947,29.375387,3.54200006,0.0930000022,20181101429132,1653,0x6,0x2,20.6599998,26.2554493,0.0385934301,-0.060247317,2.48493434e-05,30,1.03299999,2
33,608114100007629,67135438,2458425.8596865274,58425.3543866,16.7905159,0.0184781291,0,zg,62.4024815,29.375414,5.84299994,0.550999999,20181103354387,608,0xe,0x1,21.9599991,26.3042431,0.030232979,-0.0757104754,1.21701441e-05,30,1.01800001,1
1452,1653106200020781,67137454,2458425.879849358,58425.3745486,16.8727398,0.0204409435,0,zg,62.4025074,29.3753777,5.23799992,0.479999989,20181103374502,1653,0x6,0x2,21.9300003,26.2465248,0.0299174264,-0.0679609403,1.1869336e-05,30,1.00399995,2
34,608114100007629,67139047,2458425.895775912,58425.3904745,16.912035,0.0190890618,0,zg,62.4025172,29.3753651,6.15999985,0.72299999,20181103390451,608,0xe,0x1,21.8999996,26.3001862,0.03153833,-0.0794211552,1.31984143e-05,30,1.01300001,1
35,608114100007629,67233350,2458426.838846322,58426.3335069,16.860157,0.0188178588,0,zg,62.4024978,29.3753663,6.02400017,0.555999994,20181104333495,608,0xe,0x1,21.8199997,26.1420021,0.0338563807,-0.0725715235,1.5522417e-05,30,1.03600001,1
1453,1653106200020781,67234770,2458426.8530482883,58426.3477083,16.8355026,0.0202932619,0,zg,62.4024814,29.3753788,5.7750001,0.633000016,20181104347697,1653,0x6,0x2,21.6800003,26.1552563,0.0308203027,-0.0732309148,1.22311139e-05,30,1.01600003,2
36,608114100007629,67330454,2458427.8099256963,58427.3045486,16.7049503,0.0180966388,32768,zg,62.4024929,29.3754409,2.02699995,0.00700000022,20181105304549,608,0xe,0x1,19.75,25.5091152,0.0471239313,-0.0463190638,7.94498264e-05,30,1.08299994,1
1454,1653106200020781,67330547,2458427.810851629,58427.3054745,16.4708405,0.0192624331,32768,zg,62.4025668,29.3754723,0.651000023,-0.0189999994,20181105305463,1653,0x6,0x2,19.1200008,25.5918369,0.0532479621,-0.0473350659,0.000151196771,30,1.07500005,2
37,608114100007629,67430809,2458428.813504776,58428.3080903,16.8083076,0.0185623523,0,zg,62.4024828,29.3754584,5.31699991,0.324999988,20181106308079,608,0xe,0x1,21.4099998,26.2855015,0.0341562368,-0.0434187725,1.64842386e-05,30,1.06900001,1
38,608114100007629,67630184,2458430.8073242414,58430.3018403,16.8723145,0.018879991,0,zg,62.4024998,29.3753726,6.29400015,0.811999977,20181108301840,608,0xe,0x1,21.8600006,26.2975903,0.0308237765,-0.0756036416,1.29493692e-05,30,1.07099998,1
1455,1653106200020781,67630230,2458430.80778716,58430.3023032,16.9251175,0.0206638072,0,zg,62.4024445,29.3753372,6.03499985,0.449000001,20181108302292,1653,0x6,0x2,21.7800007,26.2549801,0.0317007564,-0.0803011283,1.29735254e-05,30,1.06500006,2
39,608114100007629,67742130,2458431.9268280254,58431.4213079,16.6814384,0.0179983936,0,zg,62.4024799,29.3753844,3.30599999,0.0240000002,20181109421296,608,0xe,0x1,20.5599995,26.2229061,0.0436262228,-0.0376385413,3.44463697e-05,30,1.07000005,1
40,608114100007629,68041126,2458434.9168682634,58434.4112616,16.6630363,0.0179234035,0,zg,62.4025074,29.375383,2.6500001,0.0460000001,20181112411204,608,0xe,0x1,20.5799999,26.2834377,0.0412064679,-0.0517284088,3.04693676e-05,30,1.06599998,1
1456,1653106200020781,68222127,2458436.726924891,58436.2212731,16.5530338,0.0194348935,0,zg,62.4024966,29.375385,1.36000001,-0.0399999991,20181114221273,1653,0x6,0x2,19.9300003,26.213213,0.0476850718,-0.0538598262,6.27796762e-05,30,1.296,2
41,608114100007629,68341167,2458437.9173567486,58437.4116782,16.8369961,0.0187018439,0,zg,62.4024979,29.3753843,5.25600004,0.119999997,20181115411667,608,0xe,0x1,21.1200008,26.32617,0.0377873592,-0.0859264806,2.03417003e-05,30,1.08399999,1
1457,1653106200020781,68438728,2458438.892978771,58438.3872801,16.9315014,0.0206922125,32768,zg,62.402492,29.3753875,5.17799997,0.616999984,20181116387280,1653,0x6,0x2,20.8299999,25.5834084,0.041694887,-0.0713345781,2.97101851e-05,30,1.03100002,2
1458,1653106200020781,68541399,2458439.919711191,58439.4139931,16.9297886,0.0206845645,0,zg,62.4024547,29.375339,5.78900003,0.474000007,20181117413993,1653,0x6,0x2,21.8299999,26.1327343,0.0306025278,-0.0754216611,1.22118381e-05,30,1.08599997,2
42,608114100007629,68640361,2458440.909346229,58440.4036111,17.0105782,0.0196496993,32768,zg,62.4024873,29.3753973,4.3829999,0.531000018,20181118403600,608,0xe,0x1,20.2600002,24.8206863,0.0520060211,-0.0786502138,7.86139426e-05,30,1.08399999,1
43,608114100007629,68922121,2458443.7269897703,58443.2212153,16.9929199,0.019544689,0,zg,62.4024691,29.3753925,4.61000013,0.433999985,20181121221204,608,0xe,0x1,20.2199993,26.2754364,0.0444078445,-0.0647228956,4.85839701e-05,30,1.21000004,1
1459,1653106200020781,68924165,2458443.74742982,58443.2416551,16.9301033,0.0206859671,0,zg,62.402464,29.3753748,4.34399986,0.584999979,20181121241644,1653,0x6,0x2,20.2000008,26.2091885,0.0433938131,-0.0297343824,4.44090001e-05,30,1.12899995,2
44,608114100007629,69642056,2458450.9263803004,58450.4205671,16.8346748,0.0186903868,0,zg,62.4024699,29.3754072,3.77999997,0.342999995,20181128420556,608,0xe,0x1,20.2800007,26.0856972,0.0448306985,-0.0416215137,4.49039981e-05,30,1.23500001,1
45,608114100007629,70834707,2458462.8527514813,58462.3470718,16.9547939,0.0193248075,0,zg,62.4025037,29.3753613,4.66599989,0.126000002,20181210347049,608,0xe,0x1,21.0200005,26.0719147,0.0389057882,-0.0799229965,2.30606838e-05,30,1.09300005,1
