Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,307102400009574,45018085,2458204.681075158,58204.1808565,15.6134863,0.0162694678,0,zg,95.273007,-20.0481797,1.74100006,-0.182999998,20180327180845,307,0x2,0x4,18.3500004,26.0727482,0.0583534837,-0.081507571,0.000867689843,30,2.17199993,1
1,307102400009574,61950204,2458374.0009591407,58373.5020486,15.7437878,0.0165568963,32768,zg,95.2732567,-20.0483769,4.03100014,-0.0120000001,20180912502037,307,0x2,0x4,20.3099995,26.0223751,0.0358714685,0.014029311,1.57190188e-05,30,2.15199995,1
2,307102400009574,62249983,2458376.9989564624,58376.499838,15.8677444,0.0168700498,0,zg,95.2731715,-20.0483597,3.3900001,0.238000005,20180915499826,307,0x2,0x4,21.0799999,26.0578785,0.0239446573,-0.0228147153,6.90891466e-06,30,2.0710001,1
3,307102400009574,62548068,2458379.980010772,58379.4806829,15.8001194,0.0166941322,0,zg,95.2731601,-20.0483362,2.5309999,-0.00300000003,20180918480671,307,0x2,0x4,20.4799995,26.0659866,0.0303610563,-0.0609225184,1.12157159e-05,30,2.22799993,1
4,307102400009574,63252259,2458387.022422762,58386.5225926,15.9149008,0.0170003176,0,zg,95.273192,-20.0484156,3.42600012,0.211999997,20180925522581,307,0x2,0x4,19.6399994,26.1453171,0.0402827412,-0.0400750414,2.25064705e-05,30,1.67400002,1
5,307102400009574,63350422,2458388.004125224,58387.5042245,15.7666826,0.0166116823,32768,zg,95.2731793,-20.0483932,1.36899996,-0.00100000005,20180926504225,307,0x2,0x4,19.1700001,26.1372719,0.0630232468,-0.0389981009,7.92003557e-05,30,1.75699997,3
6,307102400009574,63447956,2458388.9795311047,58388.4795602,15.9392138,0.0170700196,0,zg,95.2731823,-20.0483909,3.33500004,0.485000014,20180927479525,307,0x2,0x4,20.0799999,26.0896034,0.0325507112,-0.0375902168,1.33341882e-05,30,1.93099999,3
7,307102400009574,63545925,2458389.95930076,58389.4592593,15.9140186,0.0169978216,0,zg,95.2731867,-20.048395,3.45799994,0.170000002,20180928459132,307,0x2,0x4,19.7000008,26.0283813,0.0412251391,-0.0321235918,2.30700552e-05,30,2.13899994,1
8,307102400009574,63547924,2458389.9792906125,58389.4792477,15.9036598,0.0169686787,0,zg,95.2732064,-20.0483925,2.79299998,0.342000008,20180928479236,307,0x2,0x4,20.0300007,26.0750694,0.0342986733,-0.0374739766,1.44691821e-05,30,1.90799999,3
9,307102400009574,66941837,2458423.9207527773,58423.4183796,15.7315836,0.016528232,0,zg,95.2732163,-20.0484044,1.671,-0.0430000015,20181101418368,307,0x2,0x4,19.7700005,26.1523151,0.0433515124,-0.0477467515,2.45989941e-05,30,1.72800004,3
10,307102400009574,66942262,2458423.925000743,58423.4226273,15.758832,0.0165927485,0,zg,95.2731981,-20.0483497,3.71799994,-0.00999999978,20181101422106,307,0x2,0x4,19.9400005,26.1477871,0.0406348519,-0.0360829569,2.02303108e-05,30,1.70799994,1
11,307102400009574,67150197,2458426.004478558,58425.5019792,15.7062912,0.0164700076,0,zg,95.2732075,-20.0483789,1.28400004,-0.00100000005,20181103501979,307,0x2,0x4,19.9899998,26.1640739,0.0409444943,-0.02959002,2.07069206e-05,30,1.65499997,3
12,307102400009574,67237953,2458426.882088566,58426.379537,15.8667593,0.0168673992,0,zg,95.2732242,-20.0484082,4.0619998,0.391000003,20181104379537,307,0x2,0x4,20.7800007,25.7072926,0.0294211693,-0.0202737637,1.05188847e-05,30,1.94400001,3
13,307102400009574,67239093,2458426.893489748,58426.3909375,15.8862753,0.0169204772,0,zg,95.273237,-20.0483987,4.19899988,0.287999988,20181104390764,307,0x2,0x4,21.1299992,26.0529842,0.0233507715,-0.017614387,6.57958026e-06,30,1.847,1
14,307102400009574,67343496,2458427.937578981,58427.4349653,15.816781,0.0167363212,32768,zg,95.2732125,-20.0484128,3.477,0.0930000022,20181105434942,307,0x2,0x4,19.9200001,25.4961281,0.0400839895,-0.0149902673,2.02631836e-05,30,1.63199997,3
15,307102400009574,67543783,2458429.940564815,58429.4378356,15.8308573,0.016772544,0,zg,95.2732033,-20.0483887,4.50400019,0.381999999,20181107437824,307,0x2,0x4,21.1900005,26.1360435,0.0227741785,-0.0150832171,6.27271629e-06,30,1.61699998,3
16,307102400009574,67641843,2458430.92122214,58430.4184375,15.8661127,0.0168656558,0,zg,95.2732179,-20.0484044,4.1329999,0.289000005,20181108418437,307,0x2,0x4,21.4200001,26.1649513,0.0204785038,-0.0460752286,5.08914673e-06,30,1.653,1
17,307102400009574,67745854,2458431.9613842987,58431.4585417,15.6887045,0.0164304432,0,zg,95.2732168,-20.0484022,2.36400008,-0.0729999989,20181109458426,307,0x2,0x4,19.7700005,26.0802822,0.0394746549,-0.0373388678,2.06728364e-05,30,1.60599995,3
18,307102400009574,67843771,2458432.940616248,58432.4377199,15.8914185,0.0169346444,0,zg,95.2732012,-20.0483984,4.19899988,0.128000006,20181110437708,307,0x2,0x4,20.9500008,26.1776142,0.0238525067,-0.0699803829,7.10934819e-06,30,1.60699999,3
19,307102400009574,68039675,2458434.8997607525,58434.3967593,15.6699171,0.0163890012,0,zg,95.273195,-20.0484056,2.08100009,-0.0149999997,20181112396759,307,0x2,0x4,19.8299999,26.1422958,0.0392343141,-0.0422419533,1.96400051e-05,30,1.69000006,1
20,307102400009574,68041684,2458434.9198428174,58434.4168403,15.6491098,0.0163440704,0,zg,95.2732098,-20.0484201,1.79700005,0.0610000007,20181112416794,307,0x2,0x4,19.8700008,26.1614685,0.0414568558,-0.0448895693,2.16041044e-05,30,1.63,3
21,307102400009574,68343799,2458437.941155693,58437.4379977,15.6397505,0.0163241904,0,zg,95.273137,-20.0484024,0.588,-0.063000001,20181115437963,307,0x2,0x4,19.7299995,26.1789875,0.0469598137,-0.0348410048,2.82870369e-05,30,1.60399997,1
